Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10
csvfile;Ensembl;Ensembl_no_version;Expression;logFC;AveExpr;t;P.Value;adj.P.Val;B
Age.csv;ENSG00000202058.1;ENSG00000202058;overexpressed;0.70593023302477;8.73344748403497;20.6970122860488;5.24035229419436e-75;9.82985283344977e-71;159.717756135148
Age.csv;ENSG00000259865.1;ENSG00000259865;underexpressed;-0.34599495787174;3.34581549119464;-16.6473284026318;7.07151649643025e-53;6.6323753220019294e-49;109.312540647188
Age.csv;ENSG00000265802.2;ENSG00000265802;overexpressed;0.434575925264855;4.05631312804965;15.1387511197586;3.82041391855098e-45;2.38877747613931e-41;91.6583362401934
Age.csv;ENSG00000237406.1;ENSG00000237406;overexpressed;0.265316529333867;3.64842858305808;15.0622572140544;9.21751453263473e-45;4.32255344007906e-41;90.7806906223969
Age.csv;ENSG00000242170.3;ENSG00000242170;overexpressed;0.254542490816232;3.87123598578486;14.7728003977937;2.52907460618611e-43;7.906730243806519e-40;87.5432503486505
Age.csv;ENSG00000201955.1;ENSG00000201955;overexpressed;0.657875909466802;4.18582808650532;14.7759830210511;2.43907929389504e-43;7.906730243806519e-40;87.4909978385877
Age.csv;ENSG00000201498.1;ENSG00000201498;overexpressed;0.604040243426235;4.58232031520249;14.7529601621282;3.1696898892285198e-43;8.49386327744981e-40;87.2929103665313
Age.csv;ENSG00000228253.1;ENSG00000228253;overexpressed;0.437287499503071;6.51315694984644;14.705697458343;5.42400970552949e-43;1.27179467570403e-39;86.861215632765
Age.csv;ENSG00000279891.1;ENSG00000279891;overexpressed;0.266449323514206;3.95106968946458;14.559014705749;2.85668037845503e-42;5.95395672656216e-39;85.1504098403815
Age.csv;ENSG00000279555.1;ENSG00000279555;overexpressed;0.285562352039971;3.37388677520283;14.047131741176;8.76979757998085e-40;1.4954896636843699e-36;79.4767043808145
Age.csv;ENSG00000279483.2;ENSG00000279483;underexpressed;-0.394318547017778;6.4016402683419;-13.7210616775981;3.17179148547326e-38;3.9664309789671604e-35;76.0006609152802
Age.csv;ENSG00000201793.1;ENSG00000201793;overexpressed;0.335408353725058;5.65480980180735;13.4670361387741;5.0200118477266204e-37;5.8853363899784996e-34;73.2767422616276
Age.csv;ENSG00000207612.1;ENSG00000207612;overexpressed;0.336687922023478;5.13727481824777;13.419781815064;8.36324770924172e-37;9.228105913526839e-34;72.7674228432135
Age.csv;ENSG00000206605.1;ENSG00000206605;overexpressed;0.282791653863392;4.29493972827493;13.3980462257695;1.0572622833502e-36;1.10178477283795e-33;72.5225262170402
Age.csv;ENSG00000259630.2;ENSG00000259630;overexpressed;0.264833433752742;5.14150185786424;13.3279042364254;2.24935117819604e-36;2.22070154740007e-33;71.7905809796232
Age.csv;ENSG00000245532.9;ENSG00000245532;overexpressed;0.332882464545516;9.34955666326299;13.3019075700146;2.9738435832453198e-36;2.78916789672578e-33;71.4977597931657
Age.csv;ENSG00000229235.1;ENSG00000229235;overexpressed;0.323757230698645;4.02116089772433;13.2179047682416;7.314480118994501e-36;5.9654355683521194e-33;70.5974368000856
Age.csv;ENSG00000252153.1;ENSG00000252153;overexpressed;0.303094524472831;4.86552335290568;12.9523321567668;1.23049335192681e-34;9.23263771817727e-32;67.8374746750822
Age.csv;ENSG00000241546.1;ENSG00000241546;overexpressed;0.252340744927328;3.90980651318085;12.9047279878804;2.0334054770755798e-34;1.46702384380706e-31;67.3210280995063
Age.csv;ENSG00000215184.2;ENSG00000215184;overexpressed;0.317573582784033;4.71557171095157;12.7987017027109;6.19889354590514e-34;4.30662389385513e-31;66.2374742578449
Age.csv;ENSG00000243508.1;ENSG00000243508;overexpressed;0.259133417090327;3.73081506058756;12.6588291064744;2.67397987585331e-33;1.67195048370855e-30;64.7792328974237
Age.csv;ENSG00000212907.2;ENSG00000212907;overexpressed;0.316524512048678;9.14888896392192;12.6361372488054;3.38642259328559e-33;2.0491133872532597e-30;64.5571497563225
Age.csv;ENSG00000252864.1;ENSG00000252864;overexpressed;0.288823866035517;4.32753033818871;12.4849562714151;1.62269681524615e-32;8.696727674396369e-30;63.0143110877273
Age.csv;ENSG00000199200.2;ENSG00000199200;overexpressed;0.307177302742339;3.54783399004124;12.3165460455861;9.16603033642141e-32;4.19357065977056e-29;61.2841596922989
Age.csv;ENSG00000248527.1;ENSG00000248527;overexpressed;0.323892386440508;6.5053941822748;12.208357584807;2.76563485583393e-31;1.17904042331211e-28;60.2159832590541
Age.csv;ENSG00000201659.1;ENSG00000201659;overexpressed;0.439835059527786;2.96419216286246;12.1770662036676;3.80194936237742e-31;1.55036882911904e-28;59.8354489201649
Age.csv;ENSG00000198888.2;ENSG00000198888;overexpressed;0.333510613329155;8.62357170017684;12.1360062816337;5.767894816765791e-31;2.25404522860193e-28;59.4932148760397
Age.csv;ENSG00000207082.1;ENSG00000207082;overexpressed;0.361687623266516;5.17040240500512;11.9753490839802;2.9204526293897798e-30;1.09563700844187e-27;57.8933796826662
Age.csv;ENSG00000198763.3;ENSG00000198763;overexpressed;0.342319422818068;7.98913172042449;11.8528966486422;9.95954635308784e-30;3.52492774511739e-27;56.6825577430895
Age.csv;ENSG00000279332.1;ENSG00000279332;underexpressed;-0.259970013115221;1.72243860718989;-11.7399653390982;3.0647682616437297e-29;9.911883284812599e-27;55.5415254933478
Age.csv;ENSG00000198886.2;ENSG00000198886;overexpressed;0.319892553246853;9.63652702348977;11.7042489787187;4.3665649790272997e-29;1.38827162502702e-26;55.225189623344
Age.csv;ENSG00000199683.1;ENSG00000199683;overexpressed;0.318232894256535;4.15410130597952;11.6812185828292;5.48415381274134e-29;1.68642224949839e-26;55.0010486460579
Age.csv;ENSG00000186743.2;ENSG00000186743;overexpressed;0.256260483576016;3.05279498995033;11.5567571862203;1.86941883755799e-28;5.31311493256255e-26;53.7820427851609
Age.csv;ENSG00000270190.1;ENSG00000270190;overexpressed;0.255243632144709;2.88929665884995;11.5379901897541;2.2474102821048497e-28;6.28016161117514e-26;53.595919962943
